Category,Item,Unit,Value
Lithium Carbonate Plant Production,Operational Life,years,85
Lithium Carbonate Plant Production,Annual Lithium Carbonate Production - 85 years,k-tonnes,135
Lithium Carbonate Plant Production,Metallurgical Recovery - 85 Years,%,80.4
Mine Production,Ore Reserves Production Scenario,years,85
Mine Production,Annual LCE Mined - 85 years,k-tonnes,168
